year,title,author,author_gender,POS,POS_ADJF/PRTF,genre,canon_status,narration
1908,Царица мира,"Семёнов, Владимир Иванович",m,NOUN NOUN,NOUN NOUN,"фантастический роман, роман-фантазия, дирижабли, воздухоплавание, катастрофа, утопия, антиутопия, памфлет, любовь, детектив",0,
1908,Капли крови,"Сологуб, Федор Кузьмич",m,NOUN NOUN,NOUN NOUN,"социально-психологический, символистский, любовный, философский, фантастический",1,1 лицо + 3 лицо
1908,Подвиг,"Фёдоров, Александр Митрофанович",m,NOUN,NOUN,,0,
1908,Ближний боярин Артемон Сергеевич Матвеев друг царя и народа,"Фурман, Петр Романович",m,ADJF NOUN NOUN NOUN NOUN NOUN NOUN CONJ NOUN,ADJF/PRTF NOUN NOUN NOUN NOUN NOUN NOUN CONJ NOUN,исторический,0,3 лицо
1909,Сумерки божков,"Амфитеатров, Александр Валентинович",m,NOUN NOUN,NOUN NOUN,"драма, роман воспитания (карьеры), любовный (?)",0,3 лицо
1909,Алые розы Востока,"Анзимиров, Владимир Александрович",m,ADJF NOUN NOUN,ADJF/PRTF NOUN NOUN,1) роман о революции 2) тайны турецкой революции,0,
1909,Василиса,"Арнольди, Нина (Анна) Александровна",f,NOUN,NOUN,"любовный роман, трагедия",0,3 лицо
1909,Серебряный голубь,"Белый, Андрей",m,ADJF NOUN,ADJF/PRTF NOUN,"символистский, драма",1,3 лицо
1909,Жертвы дракона,"Богораз, Владимир Германович",m,NOUN NOUN,NOUN NOUN,"Исторический, этнографический (фентези?),  легенды народов Севера",0,3 лицо
1909,Завоевание вселенной,"Богораз, Владимир Германович",m,NOUN NOUN,NOUN NOUN,"Научная фантастика, неоконченый роман",0,1 лицо
1909,Записки натурщицы,"Брешко-Брешковский, Николай Николаевич",m,NOUN NOUN,NOUN NOUN,"социально-психологический, светские люди",0,
1909,Бунт совести,"Будищев, Алексей Николаевич",m,NOUN NOUN,NOUN NOUN,"социально-психологический, детективный, дворяне",0,
1909,Ключи счастья,"Вербицкая, Анастасия Алексеевна",f,NOUN NOUN,NOUN NOUN,"светский, любовный",0,3 лицо
1909,Ураган,"Измайлов, Александр Алексеевич",m,NOUN,NOUN,"Любовный, социально-психологический, роман воспитания",0,3 лицо
1909,Адские чары,"Крыжановская (Рочестер), Вера Ивановна ",f,ADJF NOUN,ADJF/PRTF NOUN,"оккультный, любовный",0,3 лицо
1909,Семейный разлад,"Маривэ, К.",f,ADJF NOUN,ADJF/PRTF NOUN,семейный,0,3 лицо
1909,Светлый луч,"Пазухин, Алексей Михайлович",m,ADJF NOUN,ADJF/PRTF NOUN,,0,
